EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 4:00,11/1/2016 5:00,1743
LoadBalancing-PublicIP-In,USW2-EUC1-AWS-In-Bytes,11/1/2016 5:00,11/1/2016 6:00,301
CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,11/1/2016 5:00,11/1/2016 6:00,25769803776
LoadBalancing,USW2-TestDataProcessing-Bytes,11/1/2016 5:00,11/1/2016 6:00,127
RunInstances,USW2-DataTransfer-In-Bytes,11/1/2016 5:00,11/1/2016 6:00,41408
LoadBalancing,USW2-DataProcessing-Bytes,11/1/2016 5:00,11/1/2016 6:00,127
LoadBalancing-PublicIP-Out,USW2-EUC1-AWS-Out-Bytes,11/1/2016 5:00,11/1/2016 6:00,270
RunInstances,USW2-DataTransfer-Out-Bytes,11/1/2016 5:00,11/1/2016 6:00,60303
RunInstances,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 5:00,11/1/2016 6:00,180480
RunInstances,USW2-BoxUsage:t2.micro,11/1/2016 5:00,11/1/2016 6:00,3
PublicIP-Out,USW2-USE1-AWS-Out-Bytes,11/1/2016 5:00,11/1/2016 6:00,912
Unknown,USW2-CW:AlarmMonitorUsage,11/1/2016 5:00,11/1/2016 6:00,3
EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 5:00,11/1/2016 6:00,0
PublicIP-In,USW2-USE1-AWS-In-Bytes,11/1/2016 5:00,11/1/2016 6:00,228
LoadBalancing,USW2-LoadBalancerUsage,11/1/2016 5:00,11/1/2016 6:00,1
EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 5:00,11/1/2016 6:00,1875
RunInstances,USW2-C3DataTransfer-In-Bytes,11/1/2016 5:00,11/1/2016 6:00,2048
RunInstances,USW2-C3DataTransfer-Out-Bytes,11/1/2016 5:00,11/1/2016 6:00,1152
RunInstances,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 5:00,11/1/2016 6:00,1169812
