Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,,11/1/2016 4:00,11/1/2016 5:00,25769803776
AmazonEC2,PublicIP-In,USW2-USE1-AWS-In-Bytes,,11/1/2016 4:00,11/1/2016 5:00,228
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 4:00,11/1/2016 5:00,1172297
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,11/1/2016 4:00,11/1/2016 5:00,848
AmazonEC2,RunInstances,USW2-BoxUsage:t2.micro,,11/1/2016 4:00,11/1/2016 5:00,3
AmazonEC2,LoadBalancing,USW2-LoadBalancerUsage,,11/1/2016 4:00,11/1/2016 5:00,1
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,11/1/2016 4:00,11/1/2016 5:00,5672
AmazonEC2,LoadBalancing,USW2-DataTransfer-In-Bytes,,11/1/2016 4:00,11/1/2016 5:00,80
AmazonEC2,EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 4:00,11/1/2016 5:00,0
AmazonEC2,PublicIP-Out,USW2-USE1-AWS-Out-Bytes,,11/1/2016 4:00,11/1/2016 5:00,912
AmazonEC2,EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 4:00,11/1/2016 5:00,1743
AmazonEC2,LoadBalancing-PublicIP-In,USW2-EUC1-AWS-In-Bytes,,11/1/2016 5:00,11/1/2016 6:00,301
AmazonEC2,CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,,11/1/2016 5:00,11/1/2016 6:00,25769803776
AmazonEC2,LoadBalancing,USW2-TestDataProcessing-Bytes,,11/1/2016 5:00,11/1/2016 6:00,127
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,11/1/2016 5:00,11/1/2016 6:00,41408
AmazonEC2,LoadBalancing,USW2-DataProcessing-Bytes,,11/1/2016 5:00,11/1/2016 6:00,127
AmazonEC2,LoadBalancing-PublicIP-Out,USW2-EUC1-AWS-Out-Bytes,,11/1/2016 5:00,11/1/2016 6:00,270
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,11/1/2016 5:00,11/1/2016 6:00,60303
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 5:00,11/1/2016 6:00,180480
AmazonEC2,RunInstances,USW2-BoxUsage:t2.micro,,11/1/2016 5:00,11/1/2016 6:00,3
AmazonEC2,PublicIP-Out,USW2-USE1-AWS-Out-Bytes,,11/1/2016 5:00,11/1/2016 6:00,912
AmazonEC2,Unknown,USW2-CW:AlarmMonitorUsage,,11/1/2016 5:00,11/1/2016 6:00,3
AmazonEC2,EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 5:00,11/1/2016 6:00,0
AmazonEC2,PublicIP-In,USW2-USE1-AWS-In-Bytes,,11/1/2016 5:00,11/1/2016 6:00,228
AmazonEC2,LoadBalancing,USW2-LoadBalancerUsage,,11/1/2016 5:00,11/1/2016 6:00,1
AmazonEC2,EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 5:00,11/1/2016 6:00,1875
AmazonEC2,RunInstances,USW2-C3DataTransfer-In-Bytes,,11/1/2016 5:00,11/1/2016 6:00,2048
AmazonEC2,RunInstances,USW2-C3DataTransfer-Out-Bytes,,11/1/2016 5:00,11/1/2016 6:00,1152
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 5:00,11/1/2016 6:00,1169812
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/1/2016 5:00,11/1/2016 6:00,1
AmazonEC2,LoadBalancing,USW2-DataTransfer-Out-Bytes,,11/1/2016 5:00,11/1/2016 6:00,15004
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 5:00,11/1/2016 6:00,180480
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 5:00,11/1/2016 6:00,1169812
AmazonEC2,RunInstances,USW2-C3DataTransfer-In-Bytes,,11/1/2016 6:00,11/1/2016 7:00,6943
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 6:00,11/1/2016 7:00,1169916
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,11/1/2016 6:00,11/1/2016 7:00,174755
AmazonEC2,LoadBalancing,USW2-DataTransfer-Out-Bytes,,11/1/2016 6:00,11/1/2016 7:00,14924
AmazonEC2,PublicIP-Out,USW2-USE1-AWS-Out-Bytes,,11/1/2016 6:00,11/1/2016 7:00,988
AmazonEC2,RunInstances,USW2-C3DataTransfer-Out-Bytes,,11/1/2016 6:00,11/1/2016 7:00,3816
AmazonEC2,EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 6:00,11/1/2016 7:00,0
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 6:00,11/1/2016 7:00,1169916
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 6:00,11/1/2016 7:00,180480
AmazonEC2,Unknown,USW2-CW:AlarmMonitorUsage,,11/1/2016 6:00,11/1/2016 7:00,3
AmazonEC2,LoadBalancing,USW2-DataTransfer-In-Bytes,,11/1/2016 6:00,11/1/2016 7:00,80
AmazonEC2,LoadBalancing,USW2-LoadBalancerUsage,,11/1/2016 6:00,11/1/2016 7:00,1
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 6:00,11/1/2016 7:00,180480
AmazonEC2,RunInstances,USW2-BoxUsage:t2.micro,,11/1/2016 6:00,11/1/2016 7:00,3
AmazonEC2,CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,,11/1/2016 6:00,11/1/2016 7:00,25769803776
AmazonEC2,PublicIP-In,USW2-USE1-AWS-In-Bytes,,11/1/2016 6:00,11/1/2016 7:00,304
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,11/1/2016 6:00,11/1/2016 7:00,64844
AmazonEC2,EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 6:00,11/1/2016 7:00,1964
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/1/2016 6:00,11/1/2016 7:00,1
AmazonEC2,LoadBalancing,USW2-DataTransfer-In-Bytes,,11/1/2016 7:00,11/1/2016 8:00,80
AmazonEC2,RunInstances,USW2-BoxUsage:t2.micro,,11/1/2016 7:00,11/1/2016 8:00,3
AmazonEC2,CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,,11/1/2016 7:00,11/1/2016 8:00,25769803776
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 7:00,11/1/2016 8:00,1169968
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,11/1/2016 7:00,11/1/2016 8:00,33363
AmazonEC2,EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 7:00,11/1/2016 8:00,0
AmazonEC2,PublicIP-Out,USW2-USE1-AWS-Out-Bytes,,11/1/2016 7:00,11/1/2016 8:00,912
AmazonEC2,RunInstances,USW2-C3DataTransfer-Out-Bytes,,11/1/2016 7:00,11/1/2016 8:00,1888
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 7:00,11/1/2016 8:00,1169968
AmazonEC2,LoadBalancing,USW2-LoadBalancerUsage,,11/1/2016 7:00,11/1/2016 8:00,1
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 7:00,11/1/2016 8:00,180480
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,11/1/2016 7:00,11/1/2016 8:00,87420
AmazonEC2,Unknown,USW2-CW:AlarmMonitorUsage,,11/1/2016 7:00,11/1/2016 8:00,3
AmazonEC2,EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 7:00,11/1/2016 8:00,1906
AmazonEC2,PublicIP-In,USW2-USE1-AWS-In-Bytes,,11/1/2016 7:00,11/1/2016 8:00,228
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/1/2016 7:00,11/1/2016 8:00,1
AmazonEC2,LoadBalancing,USW2-DataTransfer-Out-Bytes,,11/1/2016 7:00,11/1/2016 8:00,15012
AmazonEC2,RunInstances,USW2-C3DataTransfer-In-Bytes,,11/1/2016 7:00,11/1/2016 8:00,3296
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 7:00,11/1/2016 8:00,180480
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,11/1/2016 8:00,11/1/2016 9:00,15508
AmazonEC2,EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 8:00,11/1/2016 9:00,1880
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/1/2016 8:00,11/1/2016 9:00,1
AmazonEC2,CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,,11/1/2016 8:00,11/1/2016 9:00,25769803776
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 8:00,11/1/2016 9:00,180972
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 8:00,11/1/2016 9:00,1170004
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 8:00,11/1/2016 9:00,1174878
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 8:00,11/1/2016 9:00,181724
AmazonEC2,LoadBalancing,USW2-LoadBalancerUsage,,11/1/2016 8:00,11/1/2016 9:00,1
AmazonEC2,RunInstances,USW2-BoxUsage:t2.micro,,11/1/2016 8:00,11/1/2016 9:00,3
AmazonEC2,EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 8:00,11/1/2016 9:00,0
AmazonEC2,Unknown,USW2-CW:AlarmMonitorUsage,,11/1/2016 8:00,11/1/2016 9:00,3
AmazonEC2,PublicIP-In,USW2-USE1-AWS-In-Bytes,,11/1/2016 8:00,11/1/2016 9:00,304
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,11/1/2016 8:00,11/1/2016 9:00,36679
AmazonEC2,PublicIP-Out,USW2-USE1-AWS-Out-Bytes,,11/1/2016 8:00,11/1/2016 9:00,988
AmazonEC2,LoadBalancing,USW2-DataTransfer-Out-Bytes,,11/1/2016 8:00,11/1/2016 9:00,14880
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,11/1/2016 9:00,11/1/2016 10:00,8351
AmazonEC2,CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,,11/1/2016 9:00,11/1/2016 10:00,25769803776
AmazonEC2,RunInstances,USW2-BoxUsage:t2.micro,,11/1/2016 9:00,11/1/2016 10:00,3
AmazonEC2,EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 9:00,11/1/2016 10:00,1808
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 9:00,11/1/2016 10:00,1174678
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/1/2016 9:00,11/1/2016 10:00,1
AmazonEC2,PublicIP-In,USW2-USE1-AWS-In-Bytes,,11/1/2016 9:00,11/1/2016 10:00,228
AmazonEC2,Unknown,USW2-CW:AlarmMonitorUsage,,11/1/2016 9:00,11/1/2016 10:00,3
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 9:00,11/1/2016 10:00,181016
AmazonEC2,LoadBalancing,USW2-DataTransfer-Out-Bytes,,11/1/2016 9:00,11/1/2016 10:00,14880
AmazonEC2,EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 9:00,11/1/2016 10:00,0
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 9:00,11/1/2016 10:00,1160168
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,11/1/2016 9:00,11/1/2016 10:00,33794
AmazonEC2,PublicIP-Out,USW2-USE1-AWS-Out-Bytes,,11/1/2016 9:00,11/1/2016 10:00,912
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 9:00,11/1/2016 10:00,178976
AmazonEC2,LoadBalancing,USW2-LoadBalancerUsage,,11/1/2016 9:00,11/1/2016 10:00,1
AmazonEC2,LoadBalancing,USW2-DataTransfer-In-Bytes,,11/1/2016 10:00,11/1/2016 11:00,160
AmazonEC2,EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 10:00,11/1/2016 11:00,0
AmazonEC2,Unknown,USW2-CW:AlarmMonitorUsage,,11/1/2016 10:00,11/1/2016 11:00,3
AmazonEC2,LoadBalancing,USW2-LoadBalancerUsage,,11/1/2016 10:00,11/1/2016 11:00,1
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,11/1/2016 10:00,11/1/2016 11:00,28967
AmazonEC2,PublicIP-In,USW2-USE1-AWS-In-Bytes,,11/1/2016 10:00,11/1/2016 11:00,228
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,11/1/2016 10:00,11/1/2016 11:00,8396
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 10:00,11/1/2016 11:00,1170072
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 10:00,11/1/2016 11:00,180480
AmazonEC2,CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,,11/1/2016 10:00,11/1/2016 11:00,25769803776
AmazonEC2,RunInstances,USW2-BoxUsage:t2.micro,,11/1/2016 10:00,11/1/2016 11:00,3
AmazonEC2,EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 10:00,11/1/2016 11:00,1834
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 10:00,11/1/2016 11:00,1170072
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/1/2016 10:00,11/1/2016 11:00,1
